# CardIndex ledger — assigned once, never reused, never reordered.
#
# A card's index is its permanent rules identity: DeckEntry stores one, the
# gateway persists decks made of them, and a replay names them. So this file
# is append-only. A new card takes the next free index; a card that leaves the
# corpus retires its own and the slot stays empty.
#
# Indices are assigned by first appearance over the whole card corpus, not
# over the cards this repo implements — so adopting an old card inserts
# nothing. The order is written down rather than recomputed, because what it
# derives from (release dates, the corpus filter, Scryfall's own errata) is
# not a constant.
#
# index, oracle_id, const and set are FROZEN: the workspace names them.
# name follows Scryfall, so a rename shows in the diff.
#
# Seeded by `baylee-catalog corpus` + `cargo xtask ledger`; read by
# `cargo xtask codegen`, which never assigns. `codegen --check` fails if a run
# would change this file, so no index is assigned outside a commit.
#
# index	oracle_id	const	set	name
55	74f10b9a-a286-49b2-bfa1-a427ff041bd4	DARKPACT	lea	Darkpact
56	0544b707-ec67-43e3-a25d-fd7005ab673d	DEATH_WARD	lea	Death Ward
57	20ae75a7-14ca-4366-af0a-3f3f02159f3f	DEATHGRIP	lea	Deathgrip
58	fb80aaba-352a-4b58-8db2-1e02d542819c	DEATHLACE	lea	Deathlace
59	65a9f643-063f-406a-8d5a-5ebbe0f04c3d	DEMONIC_ATTORNEY	lea	Demonic Attorney
60	2847c8a0-f6aa-4e4a-a7b8-fc116436a264	DEMONIC_HORDES	lea	Demonic Hordes
61	82004860-e589-4e38-8d61-8c0210e4ea39	DEMONIC_TUTOR	lea	Demonic Tutor
62	1973f1e9-aa14-49dc-bafe-be17b30ba288	DINGUS_EGG	lea	Dingus Egg
63	a7e97fa9-4b72-4548-b854-5be5f18a6f1a	DISENCHANT	lea	Disenchant
64	92d6af2f-728e-4e41-87cb-5c90878a2f2f	DISINTEGRATE	lea	Disintegrate
65	cd30a128-4b23-476e-8066-2272fdc395d9	DISRUPTING_SCEPTER	lea	Disrupting Scepter
66	705a1985-ed39-4a4b-812e-a677170b596e	DRAGON_WHELP	lea	Dragon Whelp
67	e75ba79f-4cc2-4ede-8641-559ab94e7e36	DRAIN_LIFE	lea	Drain Life
68	0669172d-396b-4f5a-9703-129c5c849b55	DRAIN_POWER	lea	Drain Power
69	c180ed02-07f4-4538-9bea-8c249234a8e2	DRUDGE_SKELETONS	lea	Drudge Skeletons
70	caf3c6ec-d17e-497c-8fe7-6f818ce93f96	DWARVEN_DEMOLITION_TEAM	lea	Dwarven Demolition Team
71	cfc553cd-3b4c-47a9-bffb-e5790befb32c	DWARVEN_WARRIORS	lea	Dwarven Warriors
72	3c97c311-7ad5-47ec-b421-f6c3bfbda9fb	EARTH_ELEMENTAL	lea	Earth Elemental
73	e8e35b49-8cfb-4fb5-89aa-8050f15b11bf	EARTHBIND	lea	Earthbind
74	9a40614b-50a3-422c-849e-53c8b7d3d204	EARTHQUAKE	lea	Earthquake
75	534ce8e2-53a1-407c-9881-d3b5347d43c3	ELVISH_ARCHERS	lea	Elvish Archers
76	3d8ac41c-0566-48b2-a744-39db2f72272c	EVIL_PRESENCE	lea	Evil Presence
77	38c5c952-8153-4d98-89b5-a75260383345	FALSE_ORDERS	lea	False Orders
78	0d71b157-09a0-4fd4-beb9-103117a784ad	FARMSTEAD	lea	Farmstead
79	e27193b7-1a47-4555-865d-b1fd4c6d597f	FASTBOND	lea	Fastbond
80	355bbe9b-59bf-470f-8600-410af4c7fe18	FEAR	lea	Fear
81	2ff92886-5c17-47a4-a02b-a97432d9203e	FEEDBACK	lea	Feedback
82	3912d21e-1ebc-4a81-9dc9-f404248d564a	FIRE_ELEMENTAL	lea	Fire Elemental
83	aa7714b0-2bfb-458a-8ebf-37ec2c53383e	FIREBALL	lea	Fireball
84	8603bf74-faab-4910-8e45-0f2e3b318efb	FIREBREATHING	lea	Firebreathing
85	c281f436-8c77-48f7-b31c-d40cd7f9ed6a	FLASHFIRES	lea	Flashfires
86	6a4068b0-fb4f-429c-a94e-47849f3eb7ef	FLIGHT	lea	Flight
87	27e9db49-7af7-4bef-ad4c-bf5dfb92030d	FOG	lea	Fog
88	e3c4c27d-f263-4c69-a4fe-2928136ff68b	FORCE_OF_NATURE	lea	Force of Nature
89	bd6823fb-a696-4e6d-9c5e-3b55dfe03730	FORCEFIELD	lea	Forcefield
90	b34bb2dc-c1af-4d77-b0b3-a0fb342a5fc6	FOREST	lea	Forest
91	50c53ae0-51ba-4046-ac74-87c65e688032	FORK	lea	Fork
92	f75f9006-217d-4ec8-9c35-ceefe1c5ae4e	FROZEN_SHADE	lea	Frozen Shade
93	3e771f5b-2de3-4a1b-8281-ab1f7491e5a1	FUNGUSAUR	lea	Fungusaur
94	8d134a60-e1e5-4163-8bdc-36af91567185	GAEA_S_LIEGE	lea	Gaea's Liege
95	d38ad188-515e-4865-a0ed-5d0fd4c7b453	GAUNTLET_OF_MIGHT	lea	Gauntlet of Might
96	5748ebf1-24e3-499d-ab7c-c2cebd462a24	GIANT_GROWTH	lea	Giant Growth
97	e740ce2f-2134-473c-afa1-1b6d2d1e38ef	GIANT_SPIDER	lea	Giant Spider
98	af7fabf4-8d55-4b06-9c21-472f4a5775b4	GLASSES_OF_URZA	lea	Glasses of Urza
99	4d022f53-b1fb-4071-afcc-0af3214fe604	GLOOM	lea	Gloom
100	10bc98b0-3fdc-46d1-8d3b-6d160e9dd62f	GOBLIN_BALLOON_BRIGADE	lea	Goblin Balloon Brigade
101	d236b3fc-0d3f-4d99-875d-e32a33fe5767	GOBLIN_KING	lea	Goblin King
102	ef5248d4-4cd1-447c-bdcc-78a09a67d923	GRANITE_GARGOYLE	lea	Granite Gargoyle
103	83c8a3a6-2e1a-4e26-8847-6d066f42d906	GRAY_OGRE	lea	Gray Ogre
104	727ab7f2-741e-4442-b5cb-e3032549fa87	GREEN_WARD	lea	Green Ward
105	14c8f55d-d177-4c25-a931-ebeb9e6062a0	GRIZZLY_BEARS	lea	Grizzly Bears
106	1a91ca69-e890-41dc-866b-3aabf10c9a9c	GUARDIAN_ANGEL	lea	Guardian Angel
107	8da8644c-75a1-4fe9-8e94-900d948d631c	HEALING_SALVE	lea	Healing Salve
108	948e3bb7-8265-4e95-acd1-a0c4f22441df	HELM_OF_CHATZUK	lea	Helm of Chatzuk
109	342199e0-15b6-4824-83da-25caef2592b3	HILL_GIANT	lea	Hill Giant
110	912164c2-b4d4-42e3-a10e-903b8c7b2e6d	HOLY_ARMOR	lea	Holy Armor
111	9357de36-f8be-4f49-b2c8-9fe9eaf82b07	HOLY_STRENGTH	lea	Holy Strength
112	403cf6ae-48a9-4ea9-894e-7135cfca4e1b	HOWL_FROM_BEYOND	lea	Howl from Beyond
113	d26b27db-a567-4631-b4b6-7294222fbdd1	HOWLING_MINE	lea	Howling Mine
114	8f1dae40-b307-446e-bbd2-86aa35813871	HURLOON_MINOTAUR	lea	Hurloon Minotaur
115	9c021685-4017-49c7-9f58-2ae0243361a0	HURRICANE	lea	Hurricane
116	759af941-f6a3-4726-91f2-9b1e4e55ea71	HYPNOTIC_SPECTER	lea	Hypnotic Specter
117	a0b97e33-2d0c-4800-a9f5-9cd9be651ea8	ICE_STORM	lea	Ice Storm
118	3608f1f7-8dc5-4dd1-ae91-c830e1de9529	ICY_MANIPULATOR	lea	Icy Manipulator
119	05ac866d-0405-4d25-986a-c10fcfc097e6	ILLUSIONARY_MASK	lea	Illusionary Mask
120	8695c3c1-fb4b-4429-ae33-ec186f68796b	INSTILL_ENERGY	lea	Instill Energy
121	de26b0c6-dfb7-45a8-9d7f-f8d45522d675	INVISIBILITY	lea	Invisibility
122	e9ec67e1-7064-44d4-a1ed-04b7893ffb15	IRON_STAR	lea	Iron Star
123	c645a616-0d7d-416c-b5f3-057b3a1666a0	IRONCLAW_ORCS	lea	Ironclaw Orcs
124	b7c0bb85-fb87-4c73-bc1b-7b4dc763c7e8	IRONROOT_TREEFOLK	lea	Ironroot Treefolk
125	b2c6aa39-2d2a-459c-a555-fb48ba993373	ISLAND	lea	Island
126	7d1769d0-d942-45b3-a31c-2bbe45e68661	ISLAND_SANCTUARY	lea	Island Sanctuary
127	8e2017c3-057d-4e30-bd60-f486fddbc6ca	IVORY_CUP	lea	Ivory Cup
128	1e105ab7-fb10-4cfd-ac2f-5e11488cf1b0	JADE_MONOLITH	lea	Jade Monolith
129	96162b22-41e7-4559-aa1b-c18f42abcb52	JADE_STATUE	lea	Jade Statue
130	39ee576a-0803-4063-9c84-f2b537e4d44c	JAYEMDAE_TOME	lea	Jayemdae Tome
131	4ac9116f-36bc-4d71-b696-d6ee064e1d58	JUGGERNAUT	lea	Juggernaut
132	f7518456-45ed-41d4-bd3c-5aacea28eb35	JUMP	lea	Jump
133	fac4da47-f0b2-4b57-9703-e0ed100d3499	KARMA	lea	Karma
134	acc869f8-dcbe-4d57-baa0-3eef4aceb251	KELDON_WARLORD	lea	Keldon Warlord
135	d2d477a5-f055-4d47-a852-26e8239f2a01	KORMUS_BELL	lea	Kormus Bell
136	51ca5965-ae39-4e51-8948-9a230a03f906	KUDZU	lea	Kudzu
137	5960dd01-6797-4c73-b48a-f637b9c288cc	LANCE	lea	Lance
138	a4ae41c7-9631-407d-8fd3-04f403d940a8	LEY_DRUID	lea	Ley Druid
139	867def48-4be8-4056-bcf1-d6b00450b9a3	LIBRARY_OF_LENG	lea	Library of Leng
140	5b7515f2-7a5a-4e2a-9784-6cbacd768172	LICH	lea	Lich
141	07ae1fe5-5c3e-4d94-b809-8defd2ef44e3	LIFEFORCE	lea	Lifeforce
142	eec1de80-4b3d-481d-a235-c299e0381830	LIFELACE	lea	Lifelace
143	52ac09af-2aa7-4d80-be26-3e6a6efd5c23	LIFETAP	lea	Lifetap
144	4457ed35-7c10-48c8-9776-456485fdf070	LIGHTNING_BOLT	lea	Lightning Bolt
145	4ff9af56-ac18-4966-9e48-183e1ca1c2d0	LIVING_ARTIFACT	lea	Living Artifact
146	8f0179fe-6d7d-49cc-ab06-d3b402c6fc8d	LIVING_LANDS	lea	Living Lands
147	4844312c-3c9d-4ca1-986d-4ad35e68454e	LIVING_WALL	lea	Living Wall
148	68954295-54e3-4303-a6bc-fc4547a4e3a3	LLANOWAR_ELVES	lea	Llanowar Elves
149	cc7f290f-ca00-4285-9bdb-4b4402444f30	LORD_OF_ATLANTIS	lea	Lord of Atlantis
150	ea152809-85a2-4fde-8251-3b1f267e4443	LORD_OF_THE_PIT	lea	Lord of the Pit
151	7a7425ba-4478-4bc4-855f-abf947ea4fa2	LURE	lea	Lure
152	cba229fa-9035-405b-b091-3798898a37ee	MAGICAL_HACK	lea	Magical Hack
153	c39ea5f9-6ec0-4697-897b-779e326754a7	MAHAMOTI_DJINN	lea	Mahamoti Djinn
154	97159138-c34b-416e-b079-5c952383a243	MANA_FLARE	lea	Mana Flare
155	48207d1c-448a-4e1b-974a-642dfea75933	MANA_SHORT	lea	Mana Short
156	736892cb-a34b-4bb9-b56c-e26e3db207a2	MANA_VAULT	lea	Mana Vault
157	0f1afedd-c60f-454f-b84a-c8117aec0128	MANABARBS	lea	Manabarbs
158	5ba73182-30a7-4bad-9cb6-c0feecc2db33	MEEKSTONE	lea	Meekstone
159	218d9277-c179-4de3-9c7f-79b5a6d4fa38	MERFOLK_OF_THE_PEARL_TRIDENT	lea	Merfolk of the Pearl Trident
160	8161f5b8-6aab-4133-ba2c-2e7b5774153e	MESA_PEGASUS	lea	Mesa Pegasus
161	78f9c223-9982-4282-a496-a6f892f0a5bf	MIND_TWIST	lea	Mind Twist
162	a37159df-f6d7-4db6-85de-0ea77f425993	MONS_S_GOBLIN_RAIDERS	lea	Mons's Goblin Raiders
163	a3fb7228-e76b-4e96-a40e-20b5fed75685	MOUNTAIN	lea	Mountain
164	376ee366-e082-402f-b4db-6592fcfcacd2	MOX_EMERALD	lea	Mox Emerald
165	0677f49e-f8bf-4349-af52-2ccde9287c2e	MOX_JET	lea	Mox Jet
166	824597b8-c89a-47ec-8526-7efc6e24ef0e	MOX_PEARL	lea	Mox Pearl
167	ed85fa82-e4fa-434b-92a8-36b6075708d1	MOX_RUBY	lea	Mox Ruby
168	d5ed1233-df87-4b90-8918-13922ec95249	MOX_SAPPHIRE	lea	Mox Sapphire
169	57f90b30-bcb0-447e-8788-5c5ded187207	NATURAL_SELECTION	lea	Natural Selection
170	c358b9e2-524c-434b-b3fa-74d2aa6d1df7	NETHER_SHADOW	lea	Nether Shadow
171	c58dfcbf-49e6-4ef0-bd31-ebd81b0cfa41	NETTLING_IMP	lea	Nettling Imp
172	96230edf-568a-47dd-b877-9d92aa58fac8	NEVINYRRAL_S_DISK	lea	Nevinyrral's Disk
173	375932e6-1b3e-48dc-8154-9b664c3add34	NIGHTMARE	lea	Nightmare
174	f5975294-508a-453e-893a-2fbea2487d17	NORTHERN_PALADIN	lea	Northern Paladin
175	ac41171e-c454-49e9-9004-c082ae099630	OBSIANUS_GOLEM	lea	Obsianus Golem
176	c000811e-bde7-4840-a3bb-9714d5c977eb	ORCISH_ARTILLERY	lea	Orcish Artillery
177	0b16a650-68b0-44dc-a9e1-15b7966e0b18	ORCISH_ORIFLAMME	lea	Orcish Oriflamme
178	e9b4e857-39e5-4a06-89ad-3dd94b3f252a	PARALYZE	lea	Paralyze
179	c071be90-0531-40cc-af46-0cbe80c4ddd4	PEARLED_UNICORN	lea	Pearled Unicorn
180	6e49a5b8-6bc4-4c7b-82c1-957f1fb0ca5f	PERSONAL_INCARNATION	lea	Personal Incarnation
181	dafe63ef-f3d6-45e7-877a-573da92ba85e	PESTILENCE	lea	Pestilence
182	06a158c6-7e36-49f8-a8e0-a7b7df5fd7ed	PHANTASMAL_FORCES	lea	Phantasmal Forces
183	7dcbce46-2973-4a9f-93df-95ac41ce668a	PHANTASMAL_TERRAIN	lea	Phantasmal Terrain
184	bbd30183-524c-4b93-b953-90853ec3f39f	PHANTOM_MONSTER	lea	Phantom Monster
185	c6b3f924-806d-47d3-b044-72b48470196c	PIRATE_SHIP	lea	Pirate Ship
186	16cf1cf9-6900-406c-a5b4-0e5750f530e0	PLAGUE_RATS	lea	Plague Rats
187	bc71ebf6-2056-41f7-be35-b2e5c34afa99	PLAINS	lea	Plains
188	c7a15ca4-085f-4d92-8387-c3711c04c8fa	PLATEAU	lea	Plateau
189	dc2f0000-870b-487f-9623-618fc8eb9765	POWER_LEAK	lea	Power Leak
190	39412e6d-2837-4729-abf9-e64a5ba87e40	POWER_SINK	lea	Power Sink
191	156b2228-f7b2-4816-b894-c4953a32c05f	POWER_SURGE	lea	Power Surge
192	5e961d15-5972-4e4b-9385-1cd7cd7c6bbe	PRODIGAL_SORCERER	lea	Prodigal Sorcerer
193	7f221ad6-7ec4-483d-a6b5-1456c95c1cad	PSIONIC_BLAST	lea	Psionic Blast
194	a60422e8-f2f4-4c37-a0f4-eedad27eb08c	PSYCHIC_VENOM	lea	Psychic Venom
195	3773001a-8868-49ec-a406-298cf72359c2	PURELACE	lea	Purelace
196	a2310312-6e1e-4e34-a351-9aef499a810f	RAGING_RIVER	lea	Raging River
197	cbc9c731-181a-4f00-a7b0-eb7e56eac2ea	RAISE_DEAD	lea	Raise Dead
198	bb329a5c-b9f9-4973-a53f-090024146325	RED_ELEMENTAL_BLAST	lea	Red Elemental Blast
199	73f84440-425f-4cf5-b01a-3ae89f1f6e37	RED_WARD	lea	Red Ward
200	89390a33-b289-4edd-a114-6616e49a49c2	REGENERATION	lea	Regeneration
201	e6e4a8bd-5c40-4654-8de1-0da9afed90fd	REGROWTH	lea	Regrowth
202	837417d8-8260-486d-a3ed-3b5711eaf34a	RESURRECTION	lea	Resurrection
203	eaaf7c30-f463-4115-a40e-7dc717063413	REVERSE_DAMAGE	lea	Reverse Damage
204	3f6b2f76-0364-415e-a6a2-e9e5bf31b745	RIGHTEOUSNESS	lea	Righteousness
205	01f07ab9-3c3e-4fea-9cd6-543a5b7056b8	ROC_OF_KHER_RIDGES	lea	Roc of Kher Ridges
206	aff84707-f5f8-4f53-869e-feec78da8d8d	ROCK_HYDRA	lea	Rock Hydra
207	c29a04ab-4e14-45d8-a993-3fffd0e2f6eb	ROD_OF_RUIN	lea	Rod of Ruin
208	9ed6f28f-a3db-48c5-9ab0-b90a7fba5f57	ROYAL_ASSASSIN	lea	Royal Assassin
209	068b3692-411b-44d4-a7e9-005262760cfc	SACRIFICE	lea	Sacrifice
210	95a0ca48-d924-47f4-86ed-42c673ee778c	SAMITE_HEALER	lea	Samite Healer
211	703243f0-8cb3-420f-958f-5fd4bde30293	SAVANNAH	lea	Savannah
212	60ba93eb-39e6-4af2-9c66-cd38f72daff2	SAVANNAH_LIONS	lea	Savannah Lions
213	e0fefaf0-da20-4d58-8db7-019dba16c780	SCATHE_ZOMBIES	lea	Scathe Zombies
214	68c0c04e-b0d5-4721-83bf-bf18e8b7e680	SCAVENGING_GHOUL	lea	Scavenging Ghoul
215	c8d95ca8-7d12-4072-aeaf-e20f248c7e39	SCRUBLAND	lea	Scrubland
